route_number,destinations,direction_1,direction_2
107,CAMPS BAY (ANTICLOCKWISE) - CIVIC CENTRE,Camps Bay,Civic Centre
104,ORANJEZICHT - GARDENS - ADDERLEY - WATERFRONT,Sea Point,Civic Centre
105,SEA POINT - FRESNAYE - CIVIC CENTRE,Sea Point,Civic Centre
103,ORANJEZICHT - GARDENS - CIVIC CENTRE,Oranjezicht,Civic Centre
108,HANGBERG - HOUT BAY HARBOUR - SEA POINT,Hangberg,Adderley
101,VREDEHOEK - GARDENS - CIVIC CENTRE (CLOCKWISE),Vredehoek,Civic Centre
106,CAMPS BAY (CLOCKWISE) - CIVIC CENTRE,Camps Bay,Civic Centre
110,TABLE MOUNTAIN,,
113,UPPER KLOOF STREET - ADDERLEY - WATERFRONT,Upper Kloof St,Adderley
114,SEA POINT - CIVIC CENTRE,,
102,SALT RIVER RAIL - WALMER ESTATE - CIVIC CENTRE,Salt River,Civic Centre
111,VREDEHOEK - GARDENS - CIVIC CENTRE (ANTI-CLOCKWISE),Vredehoek,Civic Centre
115,SEA POINT - GRAND PARADE,Sea Point,
109,HOUT BAY - IMIZAMO YETHU - SEA POINT,Hout Bay,Adderley
213,SUNNINGDALE - PARKLANDS - TABLE VIEW - SUNNINGDALE (CLOCKWISE),Table View,
118,HANGBERG - IMIZAMO YETHU - SEA POINT - ADDERLEY,Hangberg,Adderley
214B,TABLE VIEW - MELKBOSCH VILLAGE,MelkboschVillage,Table View
214C,TABLE VIEW - MELKBOSSTRAND - DUYNEFONTEIN,Duynefontein,Table View
216,BIG BAY - WOOD DRIVE - WOOD,Big Bay,Wood
215,SUNNINGDALE - GIE ROAD - WOOD,Sunningdale,Wood
234,MAMRE (CROWN) - ATLANTIS,Crown,Atlantis
223,SUNNINGDALE - WEST BEACH - TABLE VIEW - SUNNINGDALE (ANTICLOCKWISE),Table View,
233,SAXONSEA - ATLANTIS,Saxonsea,Atlantis
232,ATLANTIS INDUSTRIA WEST - PROTEA PARK - AVONDALE - ATLANTIS,Avondale,Atlantis
214A,PARKLANDS - TABLE VIEW,Marine Circle,Dunoon
231,ATLANTIS INDUSTRIA EAST - ATLANTIS,Atlantis Ind East,Atlantis
235,PELLA - ATLANTIS,Pella,Atlantis
236,SHERWOOD - ATLANTIS,Sherwood,Atlantis
237,ROBINVALE - ATLANTIS,Robinvale,Atlantis
260,SUMMER GREENS - WOODBRIDGE ISLAND,WoodbridgeIsland,SummerGreens
245,SAXONSEA - GOODE HOOP - ATLANTIS,Saxonsea,Atlantis
246,MAMRE (FRANS) - ATLANTIS,Frans,Atlantis
244,AVONDALE - PROTEA PARK - ATLANTIS INDUSTRIA WEST - ATLANTIS,Avondale,Atlantis
262,SUMMER GREENS - CENTURY CITY - WOODBRIDGE ISLAND,WoodbridgeIsland,SummerGreens
A01,AIRPORT - CIVIC CENTRE,,
D02,KHAYELITSHA WEST - CIVIC CENTRE,Civic Centre,Khayelitsha West
D01,KHAYELITSHA EAST - CIVIC CENTRE,Civic Centre,Khayelitsha East
D05,DUNOON - PARKLANDS - TABLE VIEW - CIVIC CENTRE,Dunoon,Waterfront
D03,MITCHELLS PLAIN EAST - CIVIC CENTRE,Civic Centre,MitchellsPlainE
D08,DUNOON - MONTAGUE GARDENS - CENTURY CITY,Century City,Dunoon
D04,KAPTEINSKLIP - MITCHELLS PLAIN TOWN CENTRE - CIVIC CENTRE,Civic Centre,Kapteinsklip
T01X,DUNOON - TABLE VIEW - CIVIC CENTRE,Dunoon,Civic Centre
T02X,ATLANTIS - TABLE VIEW - CIVIC CENTRE,Civic Centre,Atlantis
261,CENTURY CITY RAIL - OMURAMBA - SALT RIVER - ADDERLEY,Omuramba,Adderley
T02,CIVIC CENTRE - TABLE VIEW - ATLANTIS,Civic Centre,Atlantis
T04,DUNOON - OMURAMBA - CENTURY CITY,Century City,Dunoon
T01,DUNOON - TABLE VIEW - CIVIC CENTRE - WATERFRONT,Dunoon,Waterfront
T03,ATLANTIS - MELKBOSSTRAND - TABLE VIEW - CENTURY CITY,Atlantis,Century City
