Route No,Route No,Number,RouteArea,Major Station,Major Station,Major Station,Major Station,Major Station,
S8,E8,1,South,CAPE TOWN,CLAREMONT,RETREAT,SIMON`S TOWN,,
S9,,5,South,CAPE TOWN,ATHLONE,RETREAT,,,
S10,,90,Central,CAPE TOWN,MUTUAL,BONTEHEUWEL,BELLVILLE,,
S11,E11,99,Central,CAPE TOWN,MUTUAL,BONTEHEUWEL,CHRIS HANI,,
S12,,95,Central,CAPE TOWN,PINELANDS,BONTEHEUWEL,KAPTEINSKLIP,,
S14,,93,Central,CAPE TOWN,PINELANDS,BONTEHEUWEL,CHRIS HANI,,minor route
S15,,92,Central,CAPE TOWN,MUTUAL,BONTEHEUWEL,KAPTEINSKLIP,,minor route
S16,,90A,Central,CAPE TOWN,PINELANDS,BONTEHEUWEL,BELLVILLE,,minor route
S1,E1,35,North,CAPE TOWN,MUTUAL,BELLVILLE,KRAAIFONTEIN,WELLINGTON,
S2,,34,North,CAPE TOWN,MUTUAL,BELLVILLE,EERSTE RIVER,MULDERSVLEI,
S3,E3,32,North,CAPE TOWN,MUTUAL,BELLVILLE,EERSTE RIVER,STRAND,
S4,E4,23,North,CAPE TOWN,MUTUAL,BELLVILLE,EERSTE RIVER,,overlapping
S5,,25,North,CAPE TOWN,MUTUAL,BELLVILLE,KRAAIFONTEIN,,overlapping
S6,,28,North,CAPE TOWN,MONTE VISTA,BELLVILLE,EERSTE RIVER,,minor to Eerste River
S7,E7,35A,North,CAPE TOWN,MONTE VISTA,BELLVILLE,KRAAIFONTEIN,WELLINGTON,minor route
