Station Name,StationID,Latitude,Longitude
ATHLONE,ATL,-33.96089,18.501622
AVONDALE,AVD,-33.897776,18.593072
BELHAR,BOH,-33.939441,18.609057
BELLVILLE,BLE,-33.906298,18.627491
BLACKHEATH,BKH,-33.964266,18.701263
BONTEHEUWEL,BTL,-33.942095,18.550369
BRACKENFELL,BKL,-33.881123,18.688336
CLAREMONT,CMC,-33.981481,18.467184
CRAWFORD,CRF,-33.976422,18.501359
DE GRENDEL,DEG,-33.893501,18.578732
DIEPRIVIER,DPE,-34.035454,18.466953
EERSTE RIVER,EER,-34.000743,18.730914
EIKENFONTEIN,EIK,-33.857134,18.71127
ELSIES RIVER,ERH,-33.91054,18.569083
FAURE,FAU,-34.026236,18.74719
FIRGROVE,FGV,-34.055629,18.792935
GLENCAIRN,GCR,-34.164123,18.43203
HARFIELD RD,HRD,-33.988286,18.471187
HAZENDAL,HAZ,-33.953312,18.502537
HEATHFIELD,HEH,-34.046077,18.465594
HEIDEVELD,HED,-33.969678,18.561797
KALK BAY,KAB,-34.126299,18.449956
KAPTEINSKLIP,KTE,-34.067222,18.620684
KENILWORTH,KLW,-33.995285,18.473
KHAYELITSHA,KYA,-34.047985,18.670772
KOEBERG RD,KOB,-33.925787,18.47792
KRAAIFONTEIN,KAI,-33.847178,18.723839
LAKESIDE,LSD,-34.088484,18.462489
LANGA,LAG,-33.9392,18.52966
LANSDOWNE,LNE,-33.987594,18.50394
LAVISTOWN,LSN,-33.943277,18.584198
LENTEGEUR,LEN,-34.034437,18.611373
MAITLAND,MLD,-33.924712,18.487822
MANDALAY,MCF,-34.018928,18.624421
MONTE VISTA,MNV,-33.891647,18.548935
MOWBRAY,MWY,-33.946733,18.473885
MUIZENBERG,MZR,-34.109571,18.467916
MUTUAL,MTX,-33.921749,18.513696
NDABENI,NBI,-33.928238,18.49542
NETREG,NTG,-33.952749,18.563571
NEWLANDS,NDL,-33.974194,18.46761
NOLUNGILE,NOL,-34.016939,18.648924
NONKQUBELA,NNK,-34.026783,18.663078
NYANGA,NAG,-33.993111,18.559914
OBSERVATORY,OVY,-33.937882,18.471405
OOSTERZEE,OOZ,-33.899941,18.607073
OTTERY,OTY,-34.013462,18.495211
PAROW,POW,-33.909575,18.586203
PENTECH,PEI,-33.934832,18.645965
PHILIPPI,PPI,-34.013361,18.585385
PINELANDS,PND,-33.940121,18.490662
PLUMSTEAD,PMS,-34.022033,18.469739
RETREAT,RET,-34.059839,18.462936
RONDEBOSCH,RCH,-33.962161,18.472369
ROSEBANK,RSN,-33.954724,18.473143
SAREPTA,SRP,-33.926513,18.661384
SOMERSET WEST,SSW,-34.084224,18.841436
SOUTHFIELD,SFS,-34.032969,18.481599
ST JAMES,STJ,-34.119311,18.45842
STEENBERG,STX,-34.076405,18.463689
STEURHOF,STH,-34.028836,18.468908
STIKLAND,SKD,-33.904768,18.656366
STRAND,STD,-34.115026,18.832457
THORNTON,THO,-33.918905,18.532447
TYGERBERG,TYG,-33.907388,18.601514
UNIBELL,UBL,-33.937044,18.62858
VAN DER STEL,VSL,-34.09504,18.852837
VASCO,VSO,-33.911215,18.558429
WETTON,WTN,-34.001906,18.501037
WITTEBOME,WTE,-34.014044,18.470709
WOODSTOCK,WDC,-33.925483,18.445608
WYNBERG,WYB,-34.004856,18.471217
YSTERPLAAT,YPT,-33.919921,18.476845
AKASIA PARK,,,
CAPE TOWN,,,
CENTURY CITY,,,
CHRIS HANI,,,
DAL JOSAFAT,,,
DU TOIT,,,
ESPLANADE,,,
FALSE BAY,,,
FISH HOEK,,,
GOODWOOD,,,
HUGUENOT,,,
KENTEMADE,,,
KLAPMUTS,,,
KOELENHOF,,,
KUILS RIVER,,,
KUYASA,,,
LYNEDOCH,,,
MBEKWENI,,,
MELTONROSE,,,
MITCHELLS PL.,,,
MULDERSVLEI,,,
PAARL,,,
SALT RIVER,,,
SIMON`S TOWN,,,
STELLENBOSCH,,,
STOCK ROAD,,,
SUNNY COVE,,,
VLOTTENBURG,,,
WELLINGTON,,,
WOLTEMADE,,,
