route_number,day_type,Melkbosch Village,Melkbosstrand,Hol Bay,La Paloma,Waters Edge,Marine,Big Bay,De Mist,Kleinbaai,Bokkombaai,Perlemoen,Shell,Seal,Marine Circle,Popham,Table View
214B,Mondays to Fridays,05:39,05:43,05:44,05:46,05:47,05:48,05:49,05:50,05:51,05:52,05:53,05:54,05:54,05:55,05:57,05:59
214B,Mondays to Fridays,06:07,06:11,06:12,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:22,06:23,06:25,06:27
214B,Mondays to Fridays,06:35,06:39,06:40,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:50,06:51,06:53,06:55
214B,Mondays to Fridays,07:03,07:07,07:08,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:18,07:19,07:21,07:23
214B,Mondays to Fridays,07:59,08:03,08:04,08:06,08:07,08:08,08:09,08:10,08:11,08:12,08:13,08:14,08:14,08:15,08:17,08:19
214B,Mondays to Fridays,08:55,08:58,09:02,09:03,09:04,09:07,09:11,09:11,09:11,09:12,09:14,09:16,09:18,09:18,09:19,09:21
214B,Mondays to Fridays,16:22,16:24,16:27,16:31,16:32,16:33,16:34,16:36,16:37,16:38,16:39,16:40,16:41,16:43,16:44,16:46
214B,Mondays to Fridays,16:55,16:57,17:00,17:04,17:05,17:06,17:07,17:09,17:10,17:11,17:12,17:13,17:14,17:16,17:17,17:19
214B,Mondays to Fridays,17:23,17:25,17:28,17:32,17:33,17:34,17:35,17:37,17:38,17:39,17:40,17:41,17:42,17:44,17:45,17:47
214B,Mondays to Fridays,17:51,17:53,17:56,18:00,18:01,18:02,18:03,18:05,18:06,18:07,18:08,18:09,18:10,18:12,18:13,18:15
214B,Mondays to Fridays,18:19,18:21,18:24,18:28,18:29,18:30,18:31,18:33,18:34,18:35,18:36,18:37,18:38,18:40,18:41,18:43
214B,Mondays to Fridays,18:47,18:49,18:52,18:56,18:57,18:58,18:59,19:01,19:02,19:03,19:04,19:05,19:06,19:08,19:09,19:11
214B,Mondays to Fridays,19:15,19:17,19:20,19:24,19:25,19:26,19:27,19:29,19:30,19:31,19:32,19:33,19:34,19:36,19:37,19:39
